"id_reserva","codigo_reserva","fecha_reserva","fecha_checkin_programado","fecha_checkout_programado","adultos","ninos","infantes","monto_total_reserva","nombre_propiedad","tipo_propiedad","nombre_ciudad","nombre_pais","nombres","apellidos","email","telefono","nombre_segmento","nombre_motivo","tipo_habitacion","numero_habitacion","nombre_canal","nombre_estado","total_factura","monto_pago","nombre_metodo","total_servicio","nombre_servicio"
652,"RES000652","2025-03-11 10:00:00","2025-04-03","2025-04-08",1,1,0,490.42,"Boutique Manuel Antonio","Boutique","Manuel Antonio","Costa Rica","Jose","Martinez","jose.martinez@mail.com","60002368","Turista","Vacaciones","Sencilla","403","Booking","Completada",490.42,490.42,"Convenio Empresa",44.07,"Estacionamiento"
652,"RES000652","2025-03-11 10:00:00","2025-04-03","2025-04-08",1,1,0,490.42,"Boutique Manuel Antonio","Boutique","Manuel Antonio","Costa Rica","Jose","Martinez","jose.martinez@mail.com","60002368","Turista","Vacaciones","Sencilla","403","Booking","Completada",490.42,490.42,"Convenio Empresa",22.60,"Lavandería"
273,"RES000273","2026-07-04 10:00:00","2026-07-08","2026-07-12",2,0,0,768.40,"Hotel Central San José","Urbano","San José","Costa Rica","Camila","Rivera","camila.rivera@mail.com","60004107","Turista","Vacaciones","Suite","129","Convenio Empresa","Completada",768.40,768.40,"Tarjeta Crédito",76.84,"Traslado"
51,"RES000051","2025-03-13 10:00:00","2025-05-04","2025-05-08",1,0,0,528.84,"Ecohotel Arenal","Ecohotel","La Fortuna","Costa Rica","Elena","Navarro","elena.navarro@mail.com","60002109","Familiar","Visita Familiar","Doble","313","Expedia","Completada",528.84,528.84,"Transferencia",63.28,"Traslado"
839,"RES000839","2026-03-06 10:00:00","2026-04-05","2026-04-11",3,0,0,743.09,"Ecohotel Arenal","Ecohotel","La Fortuna","Costa Rica","Gabriela","Ortiz","gabriela.ortiz@mail.com","60006401","Turista","Vacaciones","Sencilla","310","Walk In","Completada",743.09,743.09,"Efectivo",14.24,"Lavandería"
839,"RES000839","2026-03-06 10:00:00","2026-04-05","2026-04-11",3,0,0,743.09,"Ecohotel Arenal","Ecohotel","La Fortuna","Costa Rica","Gabriela","Ortiz","gabriela.ortiz@mail.com","60006401","Turista","Vacaciones","Sencilla","310","Walk In","Completada",743.09,743.09,"Efectivo",47.46,"Restaurante"
839,"RES000839","2026-03-06 10:00:00","2026-04-05","2026-04-11",3,0,0,743.09,"Ecohotel Arenal","Ecohotel","La Fortuna","Costa Rica","Gabriela","Ortiz","gabriela.ortiz@mail.com","60006401","Turista","Vacaciones","Sencilla","310","Walk In","Completada",743.09,743.09,"Efectivo",206.79,"Spa"
70,"RES000070","2025-03-25 10:00:00","2025-06-04","2025-06-09",1,0,0,600.88,"Resort Pacífico Jacó","Resort","Jacó","Costa Rica","Jorge","Flores","jorge.flores@mail.com","60007030","Turista","Vacaciones","Doble","218","Convenio Empresa","Completada",600.88,600.88,"Transferencia",64.41,"Estacionamiento"
70,"RES000070","2025-03-25 10:00:00","2025-06-04","2025-06-09",1,0,0,600.88,"Resort Pacífico Jacó","Resort","Jacó","Costa Rica","Jorge","Flores","jorge.flores@mail.com","60007030","Turista","Vacaciones","Doble","218","Convenio Empresa","Completada",600.88,600.88,"Transferencia",15.82,"Lavandería"
350,"RES000350","2025-01-14 10:00:00","2025-04-05","2025-04-08",1,0,0,411.60,"Resort Pacífico Jacó","Resort","Jacó","Costa Rica","Jorge","Flores","jorge.flores@mail.com","60001850","Turista","Vacaciones","Sencilla","208","Convenio Empresa","Completada",411.60,411.60,"Tarjeta Débito",94.92,"Tour"
350,"RES000350","2025-01-14 10:00:00","2025-04-05","2025-04-08",1,0,0,411.60,"Resort Pacífico Jacó","Resort","Jacó","Costa Rica","Jorge","Flores","jorge.flores@mail.com","60001850","Turista","Vacaciones","Sencilla","208","Convenio Empresa","Completada",411.60,411.60,"Tarjeta Débito",63.28,"Traslado"
